date,cdf
2017-07-13,1
2017-07-17,132
2017-07-18,131
2017-07-18,131
2017-07-18,128
2017-07-18,2
2017-08-03,128
2017-08-04,82
2017-08-04,130
2017-08-07,89
2017-08-07,12
2017-08-07,3
2017-08-08,4
2017-08-15,46
2017-08-15,36
2017-08-18,1
2017-08-19,8
2017-08-19,56
2017-08-28,4
2017-08-29,1
2017-08-29,1
2017-08-29,1
2017-09-11,132
2017-09-11,132
2017-09-12,132
2017-09-14,134
2017-09-14,1
2017-09-15,46
2017-09-15,33
2017-09-15,88
2017-09-15,129
2017-09-15,8
2017-09-15,128
2017-09-15,132
2017-09-15,132
2017-09-15,117
2017-09-15,134
2017-09-15,131
2017-09-15,130
2017-09-15,88
2017-09-17,44
2017-09-17,47
2017-09-17,40
2017-09-17,131
2017-09-17,129
2017-09-17,129
2017-10-12,1
2017-10-12,1
2017-10-12,1
2017-10-12,1
2017-10-12,1
2017-10-18,28
2017-10-18,28
2017-10-18,31
2017-10-28,89
2017-10-28,35
2017-10-28,36
2017-10-28,35
2017-10-28,34
2017-10-28,1
2017-11-02,90
2017-11-07,1
2017-11-07,9
2017-11-07,1
2017-11-07,1
2017-11-07,1
2017-11-07,14
2017-11-07,1
2017-11-07,1
2017-11-07,1
2017-11-07,1
2017-11-07,1
2017-11-07,1
2017-11-09,38
2017-11-09,131
2017-11-13,131
2017-11-17,91
2017-11-17,131
2017-12-15,4
2017-12-15,5
2017-12-15,1
2017-12-15,78
2017-12-15,86
2017-12-15,86
2017-12-31,1
2018-01-04,132
2018-01-04,28
2018-01-11,1
2018-01-11,1
2018-01-23,6
2018-01-23,9
2018-01-23,27
2018-01-23,15
2018-01-23,2
2018-01-23,6
2018-01-23,1
2018-01-23,1
2018-01-23,1
2018-01-23,1
2018-01-23,1
2018-01-23,1
2018-01-23,5
2018-01-23,1
2018-01-23,4
2018-01-23,1
2018-01-23,2
2018-01-23,1
2018-01-23,1
2018-01-23,1
2018-02-08,1
2018-02-08,11
2018-02-08,1
2018-02-08,1
2018-02-08,1
2018-02-08,3
2018-03-09,67
2018-03-09,67
2018-03-09,84
2018-03-09,80
2018-03-09,88
2018-03-09,84
2018-03-10,133
2018-03-10,134
2018-03-10,129
2018-03-10,129
2018-03-10,8
2018-03-10,9
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,14
2018-03-12,15
2018-03-12,10
2018-03-12,4
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,12
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-12,1
2018-03-23,129
2018-04-27,14
2018-04-27,37
2018-04-27,1
2018-04-27,1
2018-04-27,1
2018-04-27,1
2018-04-28,1
2018-04-28,8
2018-04-28,61
2018-05-05,130
2018-05-05,32
2018-05-05,1
2018-05-05,1
2018-05-05,88
2018-05-06,31
2018-05-06,85
2018-05-14,28
2018-05-17,1
2018-05-17,1
2018-05-20,1
2018-05-26,91
2018-05-31,1
2018-06-07,1
2018-06-07,1
2018-06-14,1
2018-08-08,17
2018-08-08,19
2018-08-09,127
2018-08-09,119
2018-08-20,1
2018-08-20,1
2018-08-20,127
2018-09-01,23
2018-09-01,82
2018-10-08,1
2018-10-08,24
2018-10-28,3
2018-10-28,1
2018-11-24,1
2018-11-24,11
2018-11-24,132
2018-11-24,3
2018-11-24,2
2018-11-24,8
2018-11-24,7
2018-12-08,1
2018-12-22,4
2018-12-24,1
2018-12-24,1
2018-12-24,1
2018-12-24,1
2018-12-24,1
2018-12-24,1
2019-02-01,5
2019-02-01,18
2019-03-26,1
2019-04-10,1
2019-04-10,130
2019-04-11,1
2019-05-15,1
2019-05-15,1
2019-05-15,1
2019-05-15,1
2019-07-02,3
2019-08-06,1
2019-09-07,1
2019-09-07,1
