t, intensity
19.52927806,0.28267536
19.55167087,0.241198668
19.55446998,0.256133563
19.57966189,0.248684669
19.5880592,0.265265245
19.63004572,0.221214869
19.63004572,0.213424473
19.63364457,0.23142129
19.63564392,0.170088026
19.64167276,0.203339583
19.65523764,0.193684592
19.65523764,0.185933344
19.65523764,0.178182095
19.65523764,0.40794985
19.75406746,0.160936969
19.88196487,0.152841611
20.14731971,0.143673705
20.15907594,0.131828555
20.16411432,0.113911498
20.18426785,0.121865817
20.20945977,0.096097188
20.21449815,0.072332636
20.2296133,0.104711929
20.23465168,0.088277788
20.23465168,0.080438457
20.2598436,0.064740579
20.2598436,0.05698933
20.2598436,0.049238082
20.26488198,0.040905561
20.31526581,0.02464627
20.33541934,0.01243834
20.33541934,0.032715554
20.43198835,0.002160497
20.99040914,0.001387688
21.53687991,0.0029994
21.56622434,0.010840116
21.60687012,0.021759945
21.62860432,0.031689957
21.64180008,0.050696363
21.64899777,0.037920327
21.69578276,0.060699371
21.70522973,0.07105897
21.72097467,0.12483348
21.72097467,0.117082232
21.72097467,0.109330983
21.72097467,0.101579735
21.72097467,0.093828486
21.72097467,0.086077238
21.73357063,0.080528227
21.73537005,0.135189655
21.84693425,0.146679695
22.14923723,0.21459549
22.17442915,0.160337107
22.22121413,0.154499168
22.26185991,0.17008613
22.27519681,0.181742553
22.30038872,0.197372637
22.30038872,0.189503945
22.32243165,0.208300057
22.32558064,0.243665173
22.32558064,0.235913925
22.32558064,0.228162676
22.32558064,0.220411428
22.34357486,0.276645984
22.35077255,0.266482127
22.35077255,0.258887469
22.35077255,0.251005728
22.36239959,0.288587704
22.37596447,0.302200429
22.40115638,0.321278837
22.40115638,0.313519914
22.4130114,0.332515042
22.4263483,0.394551702
22.4263483,0.371297956
22.4263483,0.363546708
22.4263483,0.355795459
22.4263483,0.348044211
22.4347456,0.429755408
22.43894425,0.34284753
22.45154021,0.409712014
22.45154021,0.402039061
22.45154021,0.386959359
22.45154021,0.378660043
22.47043415,0.420404503
22.47673213,0.43445373
22.49184728,0.445235227
22.52711596,0.455946543
22.56416289,0.467351145
22.63017379,0.480002499
22.67826745,0.488151602
22.70345936,0.496232048
22.70345936,0.502632701
22.72865128,0.50827033
22.73704858,0.543679561
22.75384319,0.523714462
22.75384319,0.516002362
22.76643915,0.534360863
22.77903511,0.563939102
22.77903511,0.556187853
22.77903511,0.548436605
22.80422702,0.57191037
22.810525,0.591432258
22.81430379,0.580111525
22.81542343,0.614564145
22.82661984,0.605847411
22.83781624,0.600288594
22.85461085,0.634370837
22.87476439,0.623096579
22.87980277,0.661007303
22.87980277,0.653256054
22.87980277,0.645504806
22.90499468,0.692130098
22.90499468,0.684386679
22.90499468,0.676210025
22.90499468,0.668484875
22.9168497,0.703370267
22.9385839,0.713035456
22.95873744,0.720152798
22.98057043,0.734657338
23.10293116,0.747457022
23.20729767,0.760036106
23.2576815,0.771526676
23.2576815,0.931954032
23.26953651,0.782552685
23.28287341,0.799918917
23.29127072,0.793254137
23.30086764,0.809142655
23.30806533,0.967187695
23.33325724,0.85708509
23.33325724,0.849333842
23.33325724,0.833831344
23.33325724,0.826080096
23.34405378,0.818706496
23.35844916,0.864817122
23.35844916,0.842072297
23.37030418,0.875867886
23.38364107,0.88738614
23.40883299,0.910685915
23.40883299,0.902947716
23.40883299,0.895392206
23.42068801,0.921966768
23.45921682,0.934501493
23.47107184,0.959745493
23.48125974,0.945048446
23.48440873,0.972475139
23.50960065,0.996113601
23.52145567,0.983874559
24.01343895,0.996248867
24.56766108,0.996544998
25.12188321,0.99645677
25.67610535,0.995952152
26.25745723,0.993311247
26.67370518,0.987164234
26.71401225,0.967334659
26.73416578,0.975413816
26.73976398,0.951577284
26.7593577,0.959573483
26.7979853,0.941329236
26.82718208,0.929520741
26.86012536,0.911570021
26.87412086,0.919791241
26.88531727,0.903877852
26.88531727,0.896052222
26.88531727,0.888308803
26.88531727,0.880630631
26.88531727,0.872814136
26.91050919,0.864798997
26.91554757,0.848824842
26.9357011,0.856816482
26.95860284,0.821842709
26.96089302,0.838874135
26.99868089,0.829902013
27.01127685,0.801821532
27.01127685,0.794070284
27.01631523,0.77840931
27.02807146,0.811569553
27.03646876,0.786378114
27.04562946,0.769103423
27.12807573,0.759623726
27.15555782,0.7499831
27.22960678,0.739601775
27.28838791,0.730948516
27.31357983,0.71224605
27.31357983,0.704494802
27.31357983,0.696743553
27.31357983,0.688992305
27.31861821,0.673260865
27.3250307,0.721318697
27.33877174,0.681192479
27.36396366,0.664241873
27.36396366,0.655521719
27.36900204,0.639226552
27.38915557,0.647898058
27.40175153,0.620487492
27.41434749,0.631387864
27.43282156,0.607353383
27.45753363,0.595161456
27.46473132,0.572285308
27.46473132,0.56453406
27.46473132,0.556782811
27.46473132,0.549031563
27.46473132,0.541280314
27.4697697,0.518097106
27.47054484,0.582448741
27.48992323,0.533838255
27.48992323,0.525989572
27.53643138,0.508297872
27.60868512,0.496939175
27.62092119,0.486142966
27.70405451,0.477130383
27.74688077,0.467753154
27.7670343,0.446684137
27.7670343,0.438932889
27.7670343,0.43118164
27.7670343,0.423430391
27.7670343,0.415679143
27.7670343,0.407927894
27.7670343,0.400176646
27.78447486,0.456807081
27.79222622,0.392797658
27.79222622,0.385046409
27.81321948,0.367234495
27.81741813,0.377170245
27.81741813,0.357545493
27.83253328,0.342606938
27.84261005,0.334479455
27.855206,0.350650438
27.86780196,0.314826259
27.86780196,0.30707501
27.87284034,0.291399943
27.88879522,0.324486256
27.89299388,0.299611855
27.91818579,0.272987848
27.91818579,0.265236599
27.91818579,0.257485351
27.91818579,0.249734102
27.91818579,0.241982854
27.91818579,0.234231605
27.91818579,0.226480356
27.91818579,0.218729108
27.92322417,0.195123104
27.92963666,0.282170998
27.94337771,0.211154381
27.94337771,0.203246542
27.99376154,0.183576506
28.04414537,0.170677068
28.12531931,0.157328847
28.43558897,0.147471034
28.49424092,0.10170517
28.49759984,0.128043804
28.49759984,0.120339533
28.49759984,0.112627432
28.50263822,0.136820794
28.52783014,0.080377969
28.57737424,0.090123518
28.57737424,0.06346392
28.5983675,0.072580744
28.62355941,0.04134122
28.6285978,0.017523819
28.64539241,0.05181746
28.64875133,0.033277147
28.64875133,0.025525899
28.68539411,0.008650192
28.85028665,0.001755415
29.40450878,0.001731246
29.90834708,0.005102539
29.933539,0.10706925
29.94073669,0.017777737
29.95280341,0.03193008
29.98392283,0.0794121
29.98392283,0.071660852
29.98392283,0.063909603
29.98392283,0.056158354
29.98392283,0.048407106
30.00911474,0.042488328
30.02800868,0.098130229
30.02926828,0.087128759
30.05949857,0.025154432
30.0628575,0.11650177
30.11995917,0.130450129
30.13507432,0.137548608
30.17508501,0.146834094
30.56333688,0.154422457
30.57278385,0.163935487
30.5969261,0.172200891
30.61372071,0.185311266
30.61372071,0.177760106
30.62557573,0.196486701
30.66410454,0.21142786
30.66410454,0.230747259
30.67082238,0.221668998
30.6767005,0.206348622
30.68929645,0.275053049
30.68929645,0.2673018
30.68929645,0.251799303
30.68929645,0.244048055
30.68929645,0.236296806
30.71448837,0.321433667
30.71448837,0.313682419
30.71448837,0.30593117
30.71448837,0.298179922
30.71448837,0.290428673
30.71448837,0.282951459
30.71448837,0.259697713
30.71808721,0.343090796
30.72223973,0.330769003
30.72634339,0.35697536
30.7346419,0.367346399
30.73968028,0.373441771
30.75047682,0.398809327
30.7648722,0.388936795
30.7648722,0.381496771
30.7648722,0.447783648
30.78838465,0.411720319
30.81525603,0.420302663
30.82785199,0.438636558
30.83357742,0.42695829
30.84044794,0.461437487
30.84044794,0.453686239
30.86563986,0.472822491
30.96640752,0.484096017
31.03022704,0.494638098
31.06717518,0.646443041
31.07725195,0.505534881
31.08732871,0.512793011
31.09236709,0.518694601
31.11755901,0.53424639
31.11755901,0.52669088
31.11755901,0.724191127
31.11755901,0.70868863
31.13330396,0.544987769
31.14275092,0.594886566
31.14275092,0.587135317
31.14275092,0.579384069
31.14275092,0.57163282
31.14275092,0.563881571
31.14275092,0.556130323
31.15786607,0.611009377
31.16794284,0.626859425
31.16794284,0.619232455
31.16794284,0.602677319
31.18683678,0.637563099
31.19313475,0.651612327
31.21832667,0.659677114
31.23092263,0.682860083
31.23512128,0.691073824
31.23632089,0.669440811
31.28056552,0.699882705
31.29075343,0.715847779
31.29390242,0.72798117
31.31909433,0.739410215
31.36947816,0.758018331
31.49963639,0.752030576
31.58109025,0.763799536
31.58360944,0.77744353
31.58540886,0.788019732
31.5962054,0.80311972
31.5962054,0.795368471
31.62139731,0.810505947
31.62139731,0.901420002
31.64658923,0.822204948
31.65345975,0.848145494
31.67178114,0.839606467
31.67178114,0.978580873
31.7005719,0.832616211
31.70141869,0.860468016
31.70842393,0.879993198
31.72216497,0.871238539
31.73790992,0.89157845
31.74735689,0.943437079
31.74735689,0.935685831
31.74735689,0.927934582
31.74735689,0.920183333
31.74735689,0.912432085
31.74735689,0.904680836
31.7725488,0.954645918
31.84497556,0.968811691
31.88517148,0.984355885
31.92370029,0.99613686
32.47792243,0.99684938
33.03214456,0.996857242
33.58636669,0.996192474
34.14058882,0.995431616
34.69900961,0.994008866
34.99711394,0.99391914
35.00271214,0.976122666
35.02230585,0.985902534
35.05309597,0.968215541
35.12307351,0.960837188
35.12307351,0.95308594
35.12307351,0.945334691
35.14826543,0.937818686
35.14826543,0.929711194
35.14826543,0.921989026
35.17345734,0.91389
35.19864926,0.906011879
35.19864926,0.89825628
35.19864926,0.890470234
35.24903309,0.882641405
35.24903309,0.874898856
35.25623078,0.816000902
35.274225,0.854171583
35.274225,0.846420334
35.29941692,0.838796673
35.29941692,0.830497356
35.29941692,0.822738278
35.3032926,0.864315019
35.3360597,0.807144482
35.34980075,0.797927168
35.34980075,0.790097624
35.37499266,0.782350648
35.40648256,0.77097966
35.40858188,0.75798754
35.51984617,0.746230122
35.59452221,0.732358208
35.6017199,0.722140756
35.6017199,0.714076325
35.6017199,0.706325077
35.6319502,0.689163145
35.63698858,0.697736567
35.69888871,0.653689549
35.70248756,0.677611653
35.72348082,0.664536613
35.72767947,0.629391807
35.72767947,0.621640558
35.72767947,0.61388931
35.72767947,0.606138061
35.72767947,0.598386813
35.72767947,0.590635564
35.73271786,0.575411479
35.73847601,0.544640542
35.74927254,0.639798416
35.75287139,0.58340338
35.7780633,0.567382533
35.7780633,0.559631284
35.80325522,0.551616146
35.83348552,0.523782546
