flux,imi
1672,0.01
1678,0.02
1681,0.33
1683,0.62
1684,0.12
1688,0
1692,0.23
1692,0.15
1694,0.14
1696,0.02
1697,0.17
1698,0.14
1702,0
1708,0.51
1716,0.02
1716,0.44
1716,0.01
1717,0.14
1718,0.24
1719,0.26
1719,0.32
1720,0.17
1720,0.15
1723,0.33
1724,0.02
1726,0
1727,0.5
1734,0.49
1736,0.48
1737,0
1737,0.27
1740,0.35
1745,0.11
1748,0.32
1749,0.4
1750,0.01
1753,0.02
1754,0
1757,0
1761,0.26
1764,0
1767,0.02
1768,0.31
1778,0.14
1780,0
1783,0.41
1786,0.03
1790,0.18
1791,0.3
1793,0
1798,0.33
1800,0.14
1801,0.54
1802,0.24
1804,0.41
1805,0.13
1806,0
1807,0.18
1810,0.23
1814,0.12
1815,0.01
1821,0.16
1823,0
1824,0.21
1826,0.09
1829,0.35
1830,0
1833,0.15
1834,0.21
1837,0.19
1838,0.03
1838,0
1840,1
1841,0.12
1843,0.36
1845,0.23
1845,0.11
1846,0.21
1849,0.2
1859,0.19
1859,0.14
1859,0.03
1859,0.03
1860,0.01
1862,1
1866,0.17
1867,0.17
1867,0.5
1869,0.17
1870,0
1870,0
1872,0
1876,0.05
1878,0.15
1881,0.09
1883,0.02
1885,0.39
1887,0.15
1889,0
1891,0.34
1894,0.5
1897,0.33
1898,0.13
1901,0.2
1903,0.12
1903,0.13
1907,0.26
1908,0.09
1913,0.13
1916,0.18
1917,0.18
1921,0.01
1930,0.33
1930,0.12
1930,0
1931,0.13
1932,0.24
1934,0.03
1935,0.19
1938,0.37
1940,0.13
1941,0.01
1944,0.08
1948,0.19
1949,0.06
1951,0.01
1954,0.22
1955,0.2
1956,0.13
1958,0.09
1963,0.01
1964,0
1965,0.06
1977,0.01
1986,0.61
1987,0.34
1988,0
1998,0.15
2000,0.22
2001,0.14
2003,0.25
2005,0.13
2008,0.34
2010,0.16
2014,0.47
2014,0
2015,0.15
2015,0.21
2016,0.4
2016,0.15
2019,0.32
2020,0.5
2024,0
2024,0.01
2028,0.66
2037,0
2038,0.54
2039,0.15
2040,0.16
2040,0
2040,0.27
2045,0.21
2045,0.01
2046,0
2050,0.15
2051,0
2051,0
2056,0.18
2057,0.58
2059,0.01
2060,0.2
2066,0
2069,0.14
2069,1
2071,0.2
2072,0.15
2073,0.33
2075,0.34
2078,0.02
2081,0
2081,0.58
2082,0.11
2083,0.31
2084,0
2085,0.13
2087,1
2092,0.14
2096,0.58
2097,0.01
2098,9
2103,0.34
2105,0.15
2107,0.32
2112,0.21
2113,0.48
2118,0.23
2120,0.24
2120,0
2121,0
2123,0.24
2125,0.1
2126,0.01
2131,0.47
2131,0.26
2135,0.01
2136,0.23
2137,0.06
2138,0.01
2138,0.13
2142,0.34
2144,0.63
2144,0.35
2146,0
2149,0
2155,0.17
2156,0.17
2157,0.17
2161,0.26
2165,0.3
2165,0.19
2167,0.37
2172,0.13
2174,0.32
